City_ID,City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
267,267,Pandan,PH,2021-04-30 20:25:12,14.0453,124.1694,75.07,80,10,3.96
268,268,Taoudenni,ML,2021-04-30 20:25:12,22.6783,-3.9836,77.18,56,91,34.43
276,276,Tsaratanana,MG,2021-04-30 20:25:15,-16.7833,47.65,73.06,79,0,8.48
278,278,Yantzaza,EC,2021-04-30 20:25:15,-3.8278,-78.7594,73.96,91,63,2.08
280,280,Kuching,MY,2021-04-30 20:25:16,1.55,110.3333,75.0,100,20,1.74
281,281,Vanimo,PG,2021-04-30 20:25:16,-2.6741,141.3028,77.67,88,100,5.12
284,284,Pekan,MY,2021-04-30 20:25:17,3.4836,103.3996,75.2,94,20,4.92
287,287,Noumea,NC,2021-04-30 20:25:18,-22.2763,166.4572,75.0,68,0,2.3
289,289,Caravelas,BR,2021-04-30 20:22:41,-17.7125,-39.2481,73.0,86,96,13.47
296,296,San Isidro,PE,2021-04-30 20:25:20,-12.1167,-77.05,72.0,77,40,10.36
304,304,Martapura,ID,2021-04-30 20:25:23,-3.4167,114.85,77.0,94,20,3.44
309,309,Mayumba,GA,2021-04-30 20:25:24,-3.432,10.6554,79.48,87,100,4.79
311,311,Villarrica,PY,2021-04-30 20:25:25,-25.75,-56.4333,78.42,39,0,4.7
315,315,Propria,BR,2021-04-30 20:25:26,-10.2111,-36.8403,78.15,79,26,9.62
329,329,Meulaboh,ID,2021-04-30 20:25:31,4.1363,96.1285,77.0,88,53,3.89
330,330,Kawalu,ID,2021-04-30 20:25:31,-7.3817,108.2082,72.12,95,89,2.48
331,331,Macau,MO,2021-04-30 20:25:31,22.2006,113.5461,75.2,88,20,3.44
332,332,Saquena,PE,2021-04-30 20:25:32,-4.6667,-73.5167,79.02,92,37,3.6
333,333,Bandar-E Lengeh,IR,2021-04-30 20:25:32,26.5579,54.8807,81.23,60,84,11.74
336,336,Aborlan,PH,2021-04-30 20:25:33,9.4352,118.5492,78.39,79,100,2.75
337,337,Vao,NC,2021-04-30 20:25:33,-22.6667,167.4833,74.53,64,97,18.99
339,339,Bima,ID,2021-04-30 20:25:33,-8.4667,118.7167,75.04,95,10,1.81
341,341,San Felipe,VE,2021-04-30 20:25:34,10.3399,-68.7425,81.91,66,100,4.74
342,342,Piacabucu,BR,2021-04-30 20:25:34,-10.4056,-36.4344,78.84,79,15,11.25
346,346,Mounana,GA,2021-04-30 20:25:35,-1.4085,13.1586,72.14,96,92,0.18
367,367,Pisco,PE,2021-04-30 20:24:40,-13.7,-76.2167,73.4,68,0,16.11
370,370,Sambava,MG,2021-04-30 20:25:42,-14.2667,50.1667,75.96,90,8,8.23
373,373,Ukiah,US,2021-04-30 20:22:15,39.1502,-123.2078,80.6,28,1,3.44
375,375,Jawhar,SO,2021-04-30 20:25:43,2.7809,45.5005,79.66,75,28,9.64
376,376,Miri,MY,2021-04-30 20:25:43,4.4148,114.0089,77.0,94,40,5.75
382,382,Katobu,ID,2021-04-30 20:25:45,-4.9408,122.5276,72.66,88,7,3.24
383,383,San Antonio,US,2021-04-30 20:25:45,29.4241,-98.4936,73.0,83,75,13.8
386,386,Bireun,ID,2021-04-30 20:25:46,5.202999999999999,96.7009,77.77,86,96,4.14
391,391,Omboue,GA,2021-04-30 20:25:48,-1.5746,9.2618,78.85,86,100,4.59
405,405,Yanam,IN,2021-04-30 20:25:51,16.7333,82.2167,77.14,83,2,2.26
410,410,Yibin,CN,2021-04-30 20:25:52,28.7667,104.6238,73.33,69,100,1.79
411,411,Saint-Pierre,RE,2021-04-30 20:25:53,-21.3393,55.4781,75.2,83,11,6.91
412,412,Cananea,MX,2021-04-30 20:25:53,30.95,-110.3,72.0,27,5,1.01
420,420,Pitimbu,BR,2021-04-30 20:25:56,-7.4706,-34.8086,80.6,78,20,10.36
421,421,Banyo,CM,2021-04-30 20:24:05,6.75,11.8167,74.91,64,100,3.27
436,436,Moron,AR,2021-04-30 20:22:46,-34.6534,-58.6198,73.99,49,0,4.0
441,441,Kalawit,PH,2021-04-30 20:26:01,8.0667,122.5167,78.82,84,100,4.23
444,444,Porto Belo,BR,2021-04-30 20:26:02,-27.1578,-48.5531,73.4,60,20,5.75
447,447,Kalmunai,LK,2021-04-30 20:26:03,7.4167,81.8167,79.84,84,91,6.62
450,450,Bull Savanna,JM,2021-04-30 20:26:04,17.8868,-77.5902,81.03,64,35,14.7
467,467,Sinnamary,GF,2021-04-30 20:26:09,5.3833,-52.95,75.06,92,100,4.59
468,468,Tecpan,GT,2021-04-30 20:26:10,14.7623,-90.9947,78.8,53,40,13.8
471,471,Balkanabat,TM,2021-04-30 20:26:10,39.5108,54.3671,74.37,46,36,8.19
476,476,Sinjar,IQ,2021-04-30 20:26:12,36.3209,41.8754,72.81,40,1,7.25
485,485,Raga,SS,2021-04-30 20:26:14,8.4596,25.678,79.36,47,58,2.48
497,497,Lahaina,US,2021-04-30 20:26:18,20.8783,-156.6825,78.8,94,75,16.11
498,498,Koch Bihar,IN,2021-04-30 20:26:18,26.3167,89.4333,79.38,39,84,4.45
499,499,Banda Aceh,ID,2021-04-30 20:26:18,5.5577,95.3222,78.94,82,80,4.72
503,503,Basco,PH,2021-04-30 20:26:20,20.4487,121.9702,78.62,78,0,7.54
505,505,Tucuman,AR,2021-04-30 20:26:20,-26.8241,-65.2226,78.8,41,20,8.05
513,513,Elizabeth City,US,2021-04-30 20:26:23,36.2946,-76.2511,78.01,31,20,16.11
532,532,Huntsville,US,2021-04-30 20:25:10,34.7304,-86.5861,77.0,35,40,9.22
534,534,Odweyne,SO,2021-04-30 20:26:29,9.4092,45.06399999999999,75.9,63,60,3.4
535,535,Batasan,PH,2021-04-30 20:26:29,12.7667,120.7833,79.75,72,71,3.96
539,539,Merauke,ID,2021-04-30 20:25:06,-8.4667,140.3333,75.67,90,24,9.95
541,541,Weligama,LK,2021-04-30 20:26:31,5.9667,80.4167,78.26,86,100,2.01
544,544,Tezu,IN,2021-04-30 20:26:32,27.9167,96.1667,73.72,58,99,4.68
552,552,Carutapera,BR,2021-04-30 20:26:34,-1.195,-46.02,76.46,92,100,2.42
553,553,Basoko,CD,2021-04-30 20:26:34,1.2391,23.616,72.43,95,100,6.02
555,555,Gewane,ET,2021-04-30 20:26:35,10.1664,40.6453,75.49,74,13,3.06
556,556,Hami,CN,2021-04-30 20:26:35,42.8,93.45,72.7,13,32,4.38
559,559,Douglas,US,2021-04-30 20:24:31,41.3,-96.167,81.0,21,40,3.44
561,561,Chiang Klang,TH,2021-04-30 20:26:37,19.2938,100.8617,72.93,95,79,1.12
562,562,Najran,SA,2021-04-30 20:26:37,17.4924,44.1277,78.8,31,75,9.22
